date,close
2020-01-02,19.2068
2020-01-03,19.5264
2020-01-06,19.4762
2020-01-07,19.5201
2020-01-08,19.4762
2020-01-09,19.5452
2020-01-10,19.6204
2020-01-13,19.7457
2020-01-14,19.7457
2020-01-15,20.0151
2020-01-16,20.3222
2020-01-17,20.2596
2020-01-20,20.2282
2020-01-21,20.1530
2020-01-22,20.2783
2020-01-23,20.2596
2020-01-24,20.1593
2020-01-27,20.0089
2020-01-28,20.0026
2020-01-29,20.0340
2020-01-30,19.9924
2020-01-31,19.7783
2020-02-03,19.9546
2020-02-04,19.8602
2020-02-05,19.8791
2020-02-06,20.0302
2020-02-07,20.1561
2020-02-10,20.1435
2020-02-11,20.1183
2020-02-12,20.1813
2020-02-13,19.9168
2020-02-14,19.7972
2020-02-18,19.8350
2020-02-19,19.7279
2020-02-20,19.6650
2020-02-21,19.8224
2020-02-24,19.6524
2020-02-25,19.4509
2020-02-26,19.1990
2020-02-27,18.9547
2020-02-28,18.2142
2020-03-02,18.7775
2020-03-03,18.6509
2020-03-04,19.1952
2020-03-05,18.9990
2020-03-06,18.5560
2020-03-09,17.3472
2020-03-10,17.3409
2020-03-11,16.9042
2020-03-12,15.2397
2020-03-13,15.8852
2020-03-16,12.7272
2020-03-17,12.6576
2020-03-18,10.3476
2020-03-19,10.6893
2020-03-20,11.0564
2020-03-23,9.5438
2020-03-24,10.3349
2020-03-25,11.6766
2020-03-26,12.3411
2020-03-27,11.9487
2020-03-30,11.8492
2020-03-31,12.0215
2020-04-01,11.0580
2020-04-02,11.4855
2020-04-03,11.4600
2020-04-06,12.4809
2020-04-07,12.9722
2020-04-08,14.0889
2020-04-09,14.7971
2020-04-13,14.0378
2020-04-14,14.1718
2020-04-15,13.7890
2020-04-16,13.2849
2020-04-17,13.7315
2020-04-20,13.8464
2020-04-21,13.1828
2020-04-22,12.8574
2020-04-23,12.7680
2020-04-24,12.9020
2020-04-27,13.6996
2020-04-28,13.9166
2020-04-29,14.1376
2020-04-30,13.7007
2020-05-01,13.0066
2020-05-04,12.8974
2020-05-05,12.7624
2020-05-06,12.6532
2020-05-07,12.6982
2020-05-08,12.9681
2020-05-11,12.5311
2020-05-12,12.2226
2020-05-13,11.8885
2020-05-14,12.3383
2020-05-15,12.1070
2020-05-19,12.6403
2020-05-20,12.6532
2020-05-21,12.8396
2020-05-22,12.7175
2020-05-25,13.1352
2020-05-26,13.3472
2020-05-27,13.5079
2020-05-28,13.4522
2020-05-29,13.0120
2020-06-01,13.3422
2020-06-02,13.3810
2020-06-03,13.7759
2020-06-04,14.3715
2020-06-05,14.9670
2020-06-08,15.6015
2020-06-09,15.0577
2020-06-10,14.2291
2020-06-11,13.8147
2020-06-12,14.0284
2020-06-15,14.1514
2020-06-16,14.3197
2020-06-17,14.1060
2020-06-18,13.9377
2020-06-19,13.4393
2020-06-22,13.4781
2020-06-23,13.7888
2020-06-24,13.6788
2020-06-25,13.4781
2020-06-26,13.3422
2020-06-29,13.3056
2020-06-30,13.6383
2020-07-02,14.0427
2020-07-03,13.7818
2020-07-06,13.7622
2020-07-07,13.4035
2020-07-08,13.3709
2020-07-09,13.1621
2020-07-10,13.3382
2020-07-13,13.4296
2020-07-14,13.1947
2020-07-15,13.5339
2020-07-16,13.4491
2020-07-17,13.3969
2020-07-20,13.2469
2020-07-21,13.2208
2020-07-22,13.3448
2020-07-23,13.1230
2020-07-24,13.2339
2020-07-27,13.0839
2020-07-28,13.2600
2020-07-29,13.3709
2020-07-30,13.4918
2020-07-31,13.3275
2020-08-04,13.4326
2020-08-05,13.3866
2020-08-06,13.4129
2020-08-07,13.4063
2020-08-10,13.6035
2020-08-11,13.9124
2020-08-12,13.8335
2020-08-13,13.7349
2020-08-14,13.6035
2020-08-17,13.5509
2020-08-18,13.5181
2020-08-19,13.3801
2020-08-20,13.5246
2020-08-21,13.3932
2020-08-24,13.5575
2020-08-25,13.5904
2020-08-26,13.5509
2020-08-27,13.6824
2020-08-28,13.7313
2020-08-31,13.5989
2020-09-01,13.5460
2020-09-02,13.9498
2020-09-03,13.8903
2020-09-04,13.8770
2020-09-08,13.8770
2020-09-09,13.9432
2020-09-10,13.8704
2020-09-11,13.7777
2020-09-14,14.0889
2020-09-15,14.3669
2020-09-16,14.4265
2020-09-17,14.3802
2020-09-18,13.9962
2020-09-21,13.6320
2020-09-22,13.5129
2020-09-23,13.1752
2020-09-24,13.2083
2020-09-25,13.2480
2020-09-28,13.4268
2020-09-29,13.2026
2020-09-30,13.3427
2020-10-01,13.3894
2020-10-02,13.6163
2020-10-05,13.5696
2020-10-06,13.8231
2020-10-07,13.8097
2020-10-08,14.0699
2020-10-09,13.9498
2020-10-13,13.9165
2020-10-14,13.7564
2020-10-15,13.8631
2020-10-16,13.7630
2020-10-19,13.7097
2020-10-20,13.8498
2020-10-21,14.0833
2020-10-22,14.3101
2020-10-23,14.5836
2020-10-26,14.2434
2020-10-27,14.1566
2020-10-28,13.8031
2020-10-29,14.1284
2020-10-30,14.1553
2020-11-02,14.3703
2020-11-03,14.3636
2020-11-04,14.3905
2020-11-05,14.4040
2020-11-06,14.1822
2020-11-09,16.4204
2020-11-10,16.1717
2020-11-11,16.4137
2020-11-12,16.0104
2020-11-13,16.3464
2020-11-16,16.7968
2020-11-17,16.8237
2020-11-18,16.6086
2020-11-19,16.4741
2020-11-20,16.4137
2020-11-23,16.4002
2020-11-24,16.4809
2020-11-25,16.5145
2020-11-26,16.5212
2020-11-27,16.4022
2020-11-30,16.2939
2020-12-01,16.4360
2020-12-02,16.2939
2020-12-03,16.3819
2020-12-04,16.3413
2020-12-07,16.1925
2020-12-08,16.0910
2020-12-09,15.9219
2020-12-10,16.0640
2020-12-11,15.9760
2020-12-14,15.9963
2020-12-15,16.2060
2020-12-16,16.3954
2020-12-17,16.1113
2020-12-18,15.7258
2020-12-21,15.5837
2020-12-22,15.4755
2020-12-23,15.6243
2020-12-24,15.7055
2020-12-29,15.6987
2020-12-30,15.6674
2020-12-31,15.7151
2021-01-04,15.6674
2021-01-05,15.7763
2021-01-06,15.8649
2021-01-07,15.8717
2021-01-08,15.8853
2021-01-11,15.8512
2021-01-12,15.8785
2021-01-13,15.8853
2021-01-14,16.0555
2021-01-15,16.0623
2021-01-18,16.1713
2021-01-19,16.3279
2021-01-20,16.6479
2021-01-21,16.6138
2021-01-22,16.5049
2021-01-25,16.4709
2021-01-26,16.4640
2021-01-27,16.2938
2021-01-28,16.2897
2021-01-29,16.1252
2021-02-01,16.2554
2021-02-02,16.3994
2021-02-03,16.1938
2021-02-04,16.3034
2021-02-05,16.3582
2021-02-08,16.5364
2021-02-09,16.4131
2021-02-10,16.5844
2021-02-11,16.6735
2021-02-12,17.1738
2021-02-16,17.1943
2021-02-17,17.1326
2021-02-18,17.0504
2021-02-19,17.1875
2021-02-22,17.6946
2021-02-23,17.7631
2021-02-24,18.4964
2021-02-25,18.1890
2021-02-26,18.1201
2021-03-01,18.2648
2021-03-02,18.1821
2021-03-03,18.1959
2021-03-04,17.9271
2021-03-05,17.8857
2021-03-08,18.2924
2021-03-09,18.1683
2021-03-10,18.1407
2021-03-11,18.0029
2021-03-12,18.3200
2021-03-15,18.8162
2021-03-16,18.7266
2021-03-17,18.6715
2021-03-18,18.5750
2021-03-19,18.6921
2021-03-22,18.7473
2021-03-23,18.5129
2021-03-24,18.5888
2021-03-25,18.5888
2021-03-26,18.8024
2021-03-29,18.6646
2021-03-30,18.7505
2021-03-31,18.6119
2021-04-01,18.6951
2021-04-05,18.7297
2021-04-06,18.8545
2021-04-07,18.9862
2021-04-08,19.3467
2021-04-09,19.2496
2021-04-12,19.2565
2021-04-13,19.4784
2021-04-14,19.3328
2021-04-15,19.4506
2021-04-16,19.3189
2021-04-19,19.3259
2021-04-20,19.4506
2021-04-21,19.5823
2021-04-22,19.4992
2021-04-23,19.4645
2021-04-26,19.4506
2021-04-27,19.5477
2021-04-28,19.8111
2021-04-29,19.8557
2021-04-30,19.9463
2021-05-03,20.2111
2021-05-04,20.2181
2021-05-05,20.0927
2021-05-06,20.1345
2021-05-07,20.4760
2021-05-10,20.4969
2021-05-11,20.1693
2021-05-12,19.8836
2021-05-13,20.2669
2021-05-14,20.4829
2021-05-17,20.4063
2021-05-18,20.4899
